SAMPLE CODE,Rugosity (m),Reef overhang,Rubble,Sand,Sand and rubble,Gaps/Holes,Abiotic (total),Lebrunia neglecta,Phymanthus crucifer,Ricordea florida,Anemone spp. ,Anemones (total),Eudistoma spp. ,Trididemnum solidum,Ascidian spp. ,Tunicata (total),CCA (total),Cyanobacteria (total),Thalassia testudinum,Seagrass (total),Amphiroa spp. ,Asparagopsis taxiformis,Asparagopsis taxiformis on Ramicrusta,Caulerpa racemosa,Caulerpa spp.  ,Caulerpa spp.  on Ramicrusta,Dichotomaria marginata,Dictyota spp. ,Dictyota spp.  on Ramicrusta,Galaxaura spp. ,Galaxaura spp.  on Ramicrusta,Gracilaria spp. ,Halimeda discoidea,Halimeda spp. ,Halimeda spp.  on Ramicrusta,Halimeda tuna,Jania spp. ,Lobophora spp. ,Lobophora variegata,Lobophora variegatus on Ramicrusta,Martensia pavonia,Padina spp. ,Sargassum hystrix,Sargassum natans,Stypopodium spp. ,Stypopodium zonale,Udotea spp.  ,Valonia ventricosa,Wrangelia bicuspidata,Macroalgae spp. ,Macroalgae (total),Ramicrusta spp. ,Peyssonnelia spp. ,Peyssonneliaceae (total),Turf (mixed) on Ramicrusta,Turf (mixed) with sediment,Turf (mixed),Turf Algae (total),Antillogorgia acerosa,Antillogorgia americana,Antillogorgia bipinnata,Antillogorgia rigida,Eunicea calyculata,Eunicea flexuosa,Eunicea mammosa,Eunicea pallida,Eunicea spp. ,Eunicea succinea,Eunicea tourneforti,Gorgonia mariae,Gorgonia ventalina,Muricea atlantica,Muricea elongata,Muricea muricata,Muricea pinnata,Muriceopsis flavida,Plexaura homomalla,Plexaura kukenthali,Plexaura spp. ,Plexaurella nutans,Pseudoplexaura flagellosa,Pseudoplexaura spp. ,Pseudoplexaura wagenaari,Pterogorgia guadalupensis,Pterogorgia spp.  ,Octocoral spp.,Octocorals (total erect),Briareum asbestinum,Erythropodium caribaeorum,Octocoral spp. (encrusting),Octocorals (total encrusting),Antillogorgia acerosa (# col.),Antillogorgia americana (# col.),Antillogorgia bipinnata (# col.),Antillogorgia spp.  (# col.)  ,Briareum asbestinum (# col.),Erythropodium caribaeorum (# col.),Eunicea asperula (# col.),Eunicea calyculata (# col.),Eunicea flexuosa (# col.),Eunicea lacinata (# col.),Eunicea laxispica (# col.),Eunicea mammosa (# col.),Eunicea spp.  (# col.),Eunicea succinea (# col.),Eunicea tourneforti (# col.),Gorgonia ventalina (# col.),Muricea atlantica (# col.),Muricea elongata (# col.),Muricea laxa (# col.),Muricea muricata (# col.),Muricea spp.  (# col).,Muriceopsis flavida (# col.),Plexaura homomalla (# col.),Plexaura kukenthali (# col.),Plexaura kuna (# col.),Plexaura spp.  (# col.),Plexaurella dichotoma (# col.),Plexaurella nutans (# col.),Plexaurella spp.  (# col.),Pseudoplexaura flagellosa (# col.),Pseudoplexaura porosa (# col.),Pterogorgia citrina (# col.),Pterogorgia guadalupensis (# col.),Pterogorgia spp.  (# col.),Octocoral (total # col.),Agelas citrina,Agelas clathrodes,Agelas conifera,Agelas dispar,Agelas sceptrum,Agelas spp. ,Agelas sventres,Agelas tubulata,Aiolochroia crassa,Amphimedon compressa,Amphimedon viridis,Aplysina archeri,Aplysina cauliformis,Aplysina fistularis,Aplysina fulva,Aplysina lacunosa,Aplysina spp. ,Biemna caribea,Biemna spp. ,Callyspongia armigera,Callyspongia fallax,Callyspongia plicifera,Callyspongia spp. ,Callyspongia tenerrima,Callyspongia vaginalis,Chondrilla caribensis,Chondrosia collectrix,Cinachyrella apion,Cinachyrella kuekenthali,Clathria spp.  ,Clathria venosa,Cliona aprica,Cliona caribbaea,Cliona delitrix,Cliona laticavicola,Cliona spp.  ,Cliona tenuis,Cliona varians,Cribrochalina vasculum,Desmapsamma spp. ,Desmapsamma anchorata,Dictyonella funicularis,Dictyonella spp. ,Diplastrella spp. ,Dragmacidon reticulatum,Dysidea etheria,Dysidea janiae,Ectyoplasia ferox,Geodia neptuni,Haliclona spp. ,Halisarca caerulea,Halisarca spp. ,Iotrochota arenosa,Iotrochota birotulata,Ircinia campana,Ircinia felix,Ircinia spp. ,Ircinia strobilina,Monanchora arbuscula,Mycale laevis,Mycale laxissima,Neofibularia nolitangere,Neopetrosia carbonaria,Neopetrosia proxima,Neopetrosia rosariensis,Neopetrosia spp. ,Niphates alba,Niphates caribica,Niphates caycedoi,Niphates digitalis,Niphates erecta,Niphates spp. ,Petrosia pellasarca,Petrosia spp. ,Petrosia weinbergi,Phorbas amaranthus,Placospherastra micraster,Plakortis angulospiculatus,Plakortis halichondrioides,Plakortis spp. ,Prosuberites laughlini,Ptilocaulis walpersii,Scopalina ruetzleri,Smenospongia aurea,Smenospongia conulosa,Spheciospongia vesparium,Spirastrella coccinea,Spirastrella hartmani,Suberea spp. ,Svenzea zeai,Tedania klausi,Topsentia ophiraphidites,Topsentia spp. ,Verongula reiswigi,Verongula rigida,Verongula spp. ,Xestospongia muta,Sponge spp. ,Sponges (total),Acropora cervicornis,Acropora palmata,Acropora prolifera,Agaricia agaricites,Agaricia grahamae,Agaricia humilis,Agaricia lamarcki,Agaricia spp.  ,Colpophyllia natans,Dendrogyra cylindrus,Dichocoenia stokesii,Diploria labyrinthiformis,Eusmilia fastigiata,Helioseris cucullata,Isophyllia rigida,Isophyllia sinuosa,Madracis auretenra,Madracis carmabi,Madracis decactis,Madracis formosa,Madracis pharensis,Madracis senaria,Madracis spp. ,Manicina areolata,Meandrina meandrites,Montastraea cavernosa,Mussa angulosa,Mycetophyllia aliciae,Mycetophyllia danaana,Mycetophyllia ferox,Mycetophyllia lamarckiana,Mycetophyllia spp. ,Oculina diffusa,Orbicella annularis,Orbicella annularis (complex),Orbicella faveolata,Orbicella franksi,Porites astreoides,Porites colonensis,Porites divaricata,Porites furcata,Porites porites,Pseudodiploria clivosa,Pseudodiploria strigosa,Scolymia cubensis,Scolymia spp. ,Siderastrea radians,Siderastrea siderea,Solenastrea bournoni,Stephanocoenia intersepta,Stony Coral spp. ,Millepora alcicornis,Millepora complanata,Millepora spp. ,Millepora squarrosa,Stylaster roseus,Stony Corals (total),Stony Corals (total # diseased col.),Stony Corals (total #col.),Partially bleached coral (total),Recently dead coral (total),Condominium spp.  ,Palythoa grandis,Palythoa caribaeorum,Zoanthids (total),,YEAR,REGION,LOCATION,SITE NAME,DEPTH ZONE,TRANSECT
1999Berbería1,2.94,4.79,0,1.62,0,0,6.41,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,23.11,23.11,0,0,0,,,44.05,44.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,1.31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.42,7.42,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88,0,0,0,0,0,0,0,,0,,,6.57,0,0,0,0,0,0,0,0,0,1.93,0,0,0.77,0,0,0,0,0,16.48,,,0,0,0,0,1.31,1.31,,1999,South,Ponce,Berbería,Shallow,1
1999Berbería2,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,22.55,22.55,0,0,0,,,48.76,48.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05,6.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22,5.22,0,0,0,0,0,0,0,1.91,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0,0,0,,3.23,,,1.41,0,0,0,0.7,0,0,0,0,0,4.48,0,0,0,0,0,0,0,0,15.34,,,0,0,0,0,1.99,1.99,,1999,South,Ponce,Berbería,Shallow,2
1999Berbería3,3.13,5.94,0,0,0.99,0,6.93,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,49.43,49.43,0,0,0,,,23.91,23.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,4.27,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,,7.62,,,1.29,0,0,0,0.32,0,0,0,0,0,0.54,0,0,0,0,0,0.3,0,0,11.25,,,0,0,0,0,0.53,0.53,,1999,South,Ponce,Berbería,Shallow,3
1999Berbería4,3.65,4.54,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,15.6,15.6,0,0,0,,,61.25,61.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,2.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.56,,,2.71,0,0,0,3.59,0,0.83,0,0,0,0,0,0,0,0,0,0.29,0,0,16.28,,,0,0,0,0,0,0,,1999,South,Ponce,Berbería,Shallow,4
1999Berbería5,2.48,1.45,0,0.48,0,0,1.93,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,27.19,27.19,0,0,0,,,45.62,45.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,3.86,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,,12.39,,,1.05,0,0,0,5.31,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,21.49,,,0,0,0,0,0.32,0.32,,1999,South,Ponce,Berbería,Shallow,5
1999Las Coronas (Cabo Rojo)1,3.42,5.89,0,0,3.87,0,9.76,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1.19,1.19,0,0,0,,,44.93,44.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61,9.61,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,1.34,0,0,0,0,0,0,0,2.61,0,0,0,0,0,0.52,0,0,0,0,2.83,0,0,0,0,0,0,9.99,0,0,0,0,0,1.05,0,,11.7,,,2.61,0,0,0,0.11,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,33,,,0,0,0,0,0.22,0.22,,1999,West,Cabo Rojo,Las Coronas (Cabo Rojo),Shallow,1
1999Las Coronas (Cabo Rojo)2,1.63,7.65,0,0,0,0,7.65,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,31.56,31.56,0,0,0,,,40.15,40.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,1.46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,2.06,0,0,0,0,0,0,0,0.73,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0,,10.92,,,1.98,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,,,0,0,0,0,0,0,,1999,West,Cabo Rojo,Las Coronas (Cabo Rojo),Shallow,2
1999Las Coronas (Cabo Rojo)3,3.87,8.15,0,0,0,0,8.15,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5.98,5.98,0,0,0,,,34.68,34.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.32,11.32,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.01,0,0,0,0,0,0,0,12.18,1.66,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,,12.62,,,0.41,0,0,0,1.8,0,2.44,0,0,0,1.95,0,0,0,0,0,0,0,0,37.47,,,0,0,0,0,1.51,1.51,,1999,West,Cabo Rojo,Las Coronas (Cabo Rojo),Shallow,3
1999Las Coronas (Cabo Rojo)4,4.23,7.68,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,0,0,,,50.6,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.08,9.08,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73,5.73,0,0,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,,13.27,,,0.69,0,0,0,3.56,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,26.39,,,0,0,0,0,0.49,0.49,,1999,West,Cabo Rojo,Las Coronas (Cabo Rojo),Shallow,4
1999Las Coronas (Cabo Rojo)5,1.99,1.42,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,0,0,,,60.13,60.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,2.67,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,,12.43,,,3.25,0,0,0,0.35,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,31.7,,,0,0,0,0,0,0,,1999,West,Cabo Rojo,Las Coronas (Cabo Rojo),Shallow,5
