SAMPLE CODE,Acanthurus bahianus,Acanthurus chirurgus,Acanthurus coeruleus,Acanthurus tractus,Aetobatus narinari,Alectis ciliaris,Balistes vetula,Calamus pennatula,Canthidermis sufflamen,Caranx crysos,Caranx hippos,Caranx latus,Caranx lugubris,Caranx ruber,Carcharhinus limbatus,Carcharhinus perezii,Cephalopholis cruentata,Cephalopholis fulva,Chaetodon ocellatus,Chaetodon sedentarius,Chaetodon striatus,Decapterus macarellus,Elagatis bipinnulata,Epinephelus adscensionis,Epinephelus guttatus,Epinephelus itajara,Epinephelus striatus,Gerres cinereus,Ginglymostoma cirratum,Gymnothorax moringa,Haemulon plumierii,Holacanthus ciliaris,Holacanthus tricolor,Hypanus americanus,Istiophorus albicans,Lachnolaimus maximus,Lactophrys trigonus,Lactophrys triqueter,Lutjanus analis,Lutjanus apodus,Lutjanus cyanopterus,Lutjanus griseus,Lutjanus jocu,Lutjanus mahogoni,Lutjanus synagris,Microspathodon chrysurus,Mycteroperca interstitialis,Mycteroperca tigris,Mycteroperca venenosa,Negaprion brevirostris,Ocyurus chrysurus,Pomacanthus paru,Pterois volitans,Scarus coelestinus,Scarus iseri,Scarus taeniopterus,Scomberomorus regalis,Seriola rivoliana,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma radians,Sparisoma rubripinne,Sparisoma viride,Sphyraena barracuda,Trachinotus falcatus,,YEAR,REGION,LOCATION,SITE NAME,DEPTH ZONE,TRANSECT
2004Black JackASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5607.08,0.00,439.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4759.17,0.00,0.00,16401.21,842.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2375.78,0.00,0.00,1597.18,0.00,,0.00,,,2700.00,0.00,,,,,,5608.52,0.00,,2004,Vieques/Culebra,Isla Vieques,Black Jack,Mesophotic,ASEC Survey
2004Canjilones (Vieques)ASEC Survey,,,,,36400.00,0.00,0.00,880.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1178.10,1111.42,0.00,0.00,0.00,0.00,699.84,1113.19,0.00,0.00,49000.00,0.00,2204.12,0.00,0.00,0.00,1958.78,0.00,0.00,0.00,261.70,0.00,0.00,0.00,0.00,0.00,0.00,1174.02,0.00,,5017.00,,,756.94,0.00,,,,,,0.00,0.00,,2004,Vieques/Culebra,Isla Vieques,Canjilones (Vieques),Intermediate,ASEC Survey
2004Las Coronas (Vieques)ASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.34,0.00,11200.00,0.00,5097.80,0.00,0.00,0.00,0.00,0.00,0.00,4445.67,0.00,0.00,3968.51,1063.85,0.00,0.00,0.00,0.00,1937.76,0.00,0.00,442.05,0.00,0.00,3439.38,0.00,,0.00,,,1700.00,0.00,,,,,,3943.27,0.00,,2004,Vieques/Culebra,Isla Vieques,Las Coronas (Vieques),Shallow,ASEC Survey
2004Monte PirataASEC Survey,,,,,8500.00,0.00,2490.86,0.00,0.00,0.00,0.00,0.00,8037.62,69.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1756.25,1410.84,0.00,0.00,0.00,0.00,866.25,1366.48,0.00,0.00,0.00,0.00,2960.38,0.00,0.00,0.00,760.19,0.00,0.00,0.00,381.38,0.00,0.00,0.00,0.00,0.00,0.00,445.04,0.00,,5017.00,,,2200.00,0.00,,,,,,0.00,0.00,,2004,Vieques/Culebra,Isla Vieques,Monte Pirata,Intermediate,ASEC Survey
2004MosquitoASEC Survey,,,,,0.00,0.00,0.00,142.88,0.00,0.00,0.00,0.00,0.00,104.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,248.07,0.00,0.00,901.21,0.00,0.00,0.00,0.00,0.00,5765.44,0.00,0.00,0.00,0.00,0.00,13057.35,0.00,,0.00,,,0.00,0.00,,,,,,0.00,0.00,,2004,Vieques/Culebra,Isla Vieques,Mosquito,Shallow,ASEC Survey
2004Puerto Botes 15mASEC Survey,,,,,0.00,0.00,1300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232.74,0.00,0.00,0.00,0.00,0.00,0.00,57.12,15.27,0.00,0.00,0.00,0.00,0.00,0.00,186.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,797.01,0.00,,0.00,,,4000.00,0.00,,,,,,1665.25,0.00,,2004,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,ASEC Survey
2004Puerto Botes 20mASEC Survey,,,,,0.00,0.00,550.06,0.00,0.00,749.30,0.00,0.00,403.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,0.00,0.00,298.78,110.63,0.00,0.00,0.00,0.00,0.00,0.00,797.93,0.00,0.00,0.00,1173.53,0.00,0.00,0.00,0.00,0.00,0.00,1514.25,0.00,,0.00,,,2082.22,0.00,,,,,,1665.25,0.00,,2004,Mona/Desecheo,Isla Desecheo,Puerto Botes 20m,Intermediate,ASEC Survey
2004Puerto Canoas 30mASEC Survey,,,,,0.00,0.00,0.00,0.00,0.00,2283.72,31682.25,0.00,2372.40,0.00,4659.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1818.09,0.00,878.68,0.00,19300.00,0.00,0.00,0.00,0.00,528.56,321.55,49000.00,0.00,0.00,579.31,0.00,0.00,1037.87,0.00,0.00,1038.97,893.61,0.00,0.00,0.00,0.00,11300.00,0.00,797.01,0.00,,0.00,,,12900.00,0.00,,,,,,13154.72,0.00,,2004,Mona/Desecheo,Isla Desecheo,Puerto Canoas 30m,Mesophotic,ASEC Survey
2004Tourmaline 10mASEC Survey,,,,,0.00,0.00,2175.55,0.00,0.00,925.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.12,0.00,29.12,0.00,0.00,0.00,746.94,0.00,189.74,0.00,0.00,0.00,0.00,0.00,231.03,0.00,0.00,0.00,0.00,0.00,0.00,1463.38,0.00,0.00,0.00,0.00,486.58,0.00,0.00,0.00,0.00,0.00,700.16,0.00,,0.00,,,1700.00,0.00,,,,,,960.10,0.00,,2004,West,Cabo Rojo,Tourmaline 10m,Shallow,ASEC Survey
2004Tourmaline 20mASEC Survey,,,,,0.00,0.00,550.06,0.00,0.00,1847.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,979.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.03,0.00,0.00,0.00,0.00,0.00,0.00,1308.10,0.00,0.00,0.00,0.00,2289.69,0.00,0.00,0.00,0.00,0.00,1307.25,0.00,,0.00,,,1700.00,0.00,,,,,,0.00,0.00,,2004,West,Cabo Rojo,Tourmaline 20m,Intermediate,ASEC Survey
