PUERTO RICO CORAL REEF MONITORING PROGRAM SITE CLASSIFICATION DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Name,Site Code,Location,Region,Geographic Zone,Central Latitude,Central Longitude,Status,Baseline Year,Most Recent Survey,# Surveyed Years,Surveyed Years,Insular Shelf Zone,Reef Zonation,Mean Depth_(m),Z – true (m),Depth Zone,Habitat Type,Mean Rugosity (m),Topographic Complexity,Coral Biotope,Coral cover % change since baseline,Distance from PR Shoreline (km),Distance from PR Shoreline (km)[Binned],Distance Nearest River Mouth (km),Distance Nearest River Mouth (km) [Binned],Nearest River Mouth Direction,Nearest Main Watershed,# of Waterways Inputs (<10km),# of Waterways Inputs (<10km) [Binned],Watershed Region,PRASA Wastewater Treatment Plant in Near Waterway Inputs,Station Within MPA?,Distance to nearest MPA (km),Nearest MPA Name,MPA Designation Year,MPA Years Since Designation,MPA Seafloor Surface Area (Km^2),MPA Fishing Restrictions,MPA Level of Protection,Transect Coordinates,T1_Lat,T1_Lon,T2_Lat,T2_Lon,T3_Lat,T3_Lon,T4_Lat,T4_Lon,T5_Lat,T5_Lon
Guayama Reef,01GUAR10,Arroyo,Southeast,S,17.92255,-66.06125,Previous,2001,2001,1,2001,Outer-Shelf,Shelf Edge,10,13.6,shallow (8-14m),Aggregate reef,2,Low (0-2m),O. annularis complex,N/A,3.62,3-6km,7.9,6-12km,NW,Rio Guamaní,3,1-3w,South,Yes,No,0.62,Arrecifes de Guayama,1980,39,4.42,No Site Restrictions,Uniform Multiple-Use,N/A,,,,,17.92255,-66.06125,,,,
Punta Guilarte Shoal,01PTGU10,Arroyo,Southeast,S,17.95365,-66.00186,Previous,2001,2001,1,2001,Middle-Shelf,Bank/Shelf,10,10,shallow (8-14m),Aggregate reef,1,Low (0-2m),Low Coral,N/A,2.6,0-3km,3,0-3km,N,Rio Grande Patillas,2,1-3w,South,Yes,No,0.95,Arrecifes de Guayama,1980,39,4.42,No Site Restrictions,Uniform Multiple-Use,N/A,,,,,17.95365,-66.00186,,,,
Gallardo (2000),00GALL10,Cabo Rojo,West,W,18.00498,-67.32975,Previous,2000,2000,1,2000,Outer-Shelf,Bank/Shelf,10,10.9,shallow (8-14m),Patch reef ,4,High (3-4m),High-Moderate Hard Coral,N/A,12.5,>12km,24,>12km,E,Rio Guanajibo,0,0w,No Near Influence,,No,7.15,Finca Belvedere,2003,16,11681,Fishing Restrictions Unknown,Uniform Multiple-Use,N/A,,,,,18.00498,-67.32975,,,,
El Palo,00PALO05,Cabo Rojo,West,W,18.00057,-67.21117,Previous,2000,2015,3,"2000, 2013, 2015",Inner-Shelf,Fore Reef,5,3, very shallow (0-8m),Aggregate reef,4,High (3-4m),Octocoral canopy,30%,0.5,0-3km,3,0-3km,E,Rio Guanajibo,2,2-3w,West,Yes,No,3.9,Punta Guaniquilla,1976,43,80.55,Fishing Restrictions Unknown,Uniform Multiple-Use,N/A,,,,,18.00057,-67.21117,,,,
Resuellos,00RESU10,Cabo Rojo,West,W,17.99116,-67.23322,Current,2000,2017,4,"2000, 2013, 2015, 2017",Inner-Shelf,Bank/Shelf,10,8,shallow (8-14m),Aggregate reef,4,High (3-4m),High-Moderate Hard Coral,18%,2,0-3km,6,3-6km,E,Rio Guanajibo,2,2-3w,West,Yes,No,5.15,Bosque Estatal de Boquerón,1988,31,160.43,Commerical Fishing Restricted,Uniform Multiple-Use,Yes,17.99132,-67.23304,17.99125,-67.23316,17.99116,-67.23322,17.99109,-67.23333,17.99102,-67.23344
Tourmaline 20m,04TOUR20,Cabo Rojo,West,W,18.16517,-67.27524,Current,2004,2017,11,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2015, 2017",Outer-Shelf,Shelf Edge,20,19,intermediate (15-21m),Spur & Groove,5,Very High (5-8m),O. annularis complex,-3%,9.5,6-12km,10,6-12km,E,Rio Guanajibo,1,1w,West,,Yes,0,Arrecifes de Tourmaline,1998,21,72.69,Commerical Fishing Restricted,Zoned Multiple-Use w/ No Take Areas,Yes,18.16517,-67.27512,18.16518,-67.27518,18.16517,-67.27524,18.16515,-67.2753,18.16517,-67.2754
Tourmaline 30m,04TOUR30,Cabo Rojo,West,W,18.16637,-67.27632,Current,2004,2017,11,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2015, 2017",Outer-Shelf,Shelf Edge,30,28,mesophotic (28-35m),Spur & Groove,5,Very High (5-8m),High-Moderate Hard Coral,72%,9.5,6-12km,10,6-12km,E,Rio Guanajibo,1,1w,West,,Yes,0,Arrecifes de Tourmaline,1998,21,72.69,Commerical Fishing Restricted,Zoned Multiple-Use w/ No Take Areas,Yes,18.16632,-67.27648,18.16634,-67.27641,18.16637,-67.27632,18.16638,-67.27624,18.16637,-67.27621
Gallardo (2013),13GALL05,Cabo Rojo,West,W,18.00138,-67.32993,Previous,2013,2017,3,"2013, 2015, 2017",Outer-Shelf,Bank/Shelf,5,4, very shallow (0-8m),Patch reef ,5,Very High (5-8m),A. palmata,90%,12.5,>12km,24,>12km,E,Rio Guanajibo,0,0w,No Near Influence,,No,7.15,Finca Belvedere,2003,16,11681,Fishing Restrictions Unknown,Uniform Multiple-Use,N/A,,,,,18.00138,-67.32993,,,,
El Negro 5m,16NEGR05,Cabo Rojo,West,W,18.14658,-67.24758,Current,2016,2018,2,"2016, 2018",Middle-Shelf,Reef Crest,5,4.6, very shallow (0-8m),Aggregate reef,5,Very High (5-8m),High-Moderate Hard Coral,-4%,7,6-12km,8,6-12km,E,Rio Guanajibo,2,2-3w,West,,No,1,Arrecifes de Tourmaline,1998,21,72.69,Commerical Fishing Restricted,Zoned Multiple-Use w/ No Take Areas,PENDING,,,,,18.14658,-67.24758,,,,
El Negro 10m,16NEGR10,Cabo Rojo,West,W,18.14653,-67.24803,Current,2016,2018,2,"2016, 2018",Middle-Shelf,Fore Reef,10,7.8,shallow (8-14m),Aggregate reef,6,Very High (5-8m),High-Moderate Hard Coral,5%,7,6-12km,8,6-12km,E,Rio Guanajibo,2,2-3w,West,,No,1,Arrecifes de Tourmaline,1998,21,72.69,Commerical Fishing Restricted,Zoned Multiple-Use w/ No Take Areas,PENDING,,,,,18.14653,-67.24803,,,,
